country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,13.2,9.6,5.5,7,5.2,3.8,3.2,3.5,3.2,5.36,16.7
Croatia,4.9,5.1,5.1,5.3,5.3,6.3,4.4,5.9,6.1,5.29,6.78
"Micronesia, Federated States of",100,0,50,100,0,33.3,50,100,80,85.71,25
Georgia,48.2,55.4,46.6,49.7,43.6,40.2,31.8,38.3,48.2,50.58,62.82
Tonga,40.8,45.4,48.7,47.8,42.8,46.5,41.5,42.1,25.4,28.09,31.58
Honduras,38,37.7,33.6,29.2,29.2,27.6,29.8,37,36.8,39.73,42.76
Liechtenstein,5.9,6.7,0,12.5,5.9,0,0,10,11.1,0,0
"Congo, Dem. Rep. of the (Kinshasa)",44.2,34.7,36.2,35.6,40.8,39.1,37.4,41.9,39.1,45.62,45.63
Philippines,37.7,32.4,31,35.9,37.9,33.8,23.8,24.1,24.6,27.96,27.29
El Salvador,61,50.1,45.7,52.1,47.4,47.1,41.4,45.1,36.3,45.72,57.12
Sudan,40.5,33.6,38.6,62.2,32.5,40.6,45.4,47.9,42.4,40.45,36.59
South Africa,5.2,5.9,4.6,3.8,4.1,4.6,2.9,2.6,2.6,5.08,6.83
Samoa,22.1,29.2,32.4,22.4,37,41.7,29.5,22.1,27.2,29.99,28.44
Palau,78.6,0,20,0,54.5,57.1,35.7,29.2,84.2,96,53.33
Australia,17.8,16.5,16.5,19.8,23.7,22.7,16.6,16.6,20.1,21.24,15.38
Mauritius,10,13.1,11.6,7.2,6,7.5,5,4.7,2.2,5.71,5.53
Cyprus,2.2,1.8,1.7,1.4,1.7,1.8,1.9,4,3.5,3.53,2.03
United Nations Laissez-Passer,0,,,,,,,,,,
Namibia,6.5,4.8,6.8,10.8,14.9,8.9,8.8,6.2,7.6,7.43,5.56
Netherlands,10.6,12.1,13.7,18,19.2,21.1,23.1,11.2,14.4,13.01,16.62
Trinidad and Tobago,19.8,19.6,23.8,33.1,32,19.3,18.7,20.6,21.2,25.16,22.7
Guyana,60.3,62.3,56.6,55.9,63.5,51.5,46.5,52.7,40.2,37.28,25.76
Senegal,59.4,59.5,55.2,60.2,59.6,62.8,67,53.2,57.5,54.37,52.46
Jordan,43.3,38.9,43.2,31.4,40.1,34.5,30.8,32.6,26.9,37.59,40.34
Chile,7.5,6.7,8.9,5.9,5,3.4,2.8,1.6,2.4,13.66,11.43
Bolivia,31.4,29.3,23.6,17.4,23.8,24,16.3,15.4,13.6,13.56,14.36
Bahrain,6.3,2,6.6,6.7,4.1,2.4,7.7,4.1,4.7,3.81,6.26
Iran,45.1,44.9,42.5,40.1,38.9,31,37.6,48.2,41.8,38.55,45.02
Canada,25.5,36.6,39,52.8,57.1,52.2,44.3,43.1,48.7,49.13,47.93
Bangladesh,47.2,50.1,48.2,34.1,36.4,42.4,26,43.5,50.8,59.96,62.82
Saint Lucia,30.5,26.9,26.6,17.2,23.8,25.4,28.2,22.5,27.6,26.9,27.16
China - mainland,24.5,20.7,18.2,15.6,13.3,12,8.5,8.5,9,10.03,12.35
Hong Kong S.A.R.,4.2,3.4,4.4,6.9,5.4,3.9,1.7,1.8,3.1,4.36,4.61
India,19.5,21.7,24.7,28.7,26.8,30.1,24.1,18.7,19.8,23.78,26.02
Burundi,32.9,56,58.8,52.2,36.4,45.5,46.1,52.7,50,58.35,61.33
Macedonia,40.9,35.7,33.5,21.5,20,19.6,20.7,27,29.8,36.08,33.84
Suriname,18.7,10.5,9.6,15.5,18.6,18,11.6,9.6,13.6,7.78,10.86
Tanzania,22.2,21.1,26.2,28.3,24.2,27.5,15.8,25.7,21.3,12.02,23.05
Cabo Verde,38,39.6,42.7,45.3,46.3,38.3,36.6,36.4,28.7,36.05,45.89
Spain,6.2,7,9.9,7.7,6.5,6.6,10.2,16,15.8,17.76,15.09
Yemen,60.2,64.2,54.7,47.3,54.3,48.4,47.8,44,44.2,54.01,48.85
Mozambique,15.9,18.3,13.8,11.4,6.7,2.6,3.2,2.2,4,4.03,10.29
Nepal,55.3,55.1,51.2,59.1,58.3,59.9,49.4,46.4,38.2,42.19,49.54
Kazakhstan,12.5,12.2,11.7,12.2,9.4,8.3,7.5,8,9.9,12.7,27.55
Moldova,34.2,35.5,36.7,41.3,38.5,34.7,31,33.6,40.1,41.83,36.35
Czech Republic,9.4,6.7,5.2,6.9,9.6,6.4,6.4,5.8,8.1,6.33,7.82
Japan,12.8,12,14.8,16,15,18.7,10.2,10.9,9.3,12.22,8.12
Jamaica,35.9,37.7,35.5,46.4,47.4,45.7,41.6,35.3,32.3,37.62,35.64
Vanuatu,30,25,16.7,20,13.3,15,12.5,14.9,20,10.53,16.67
Ukraine,38.7,37.9,30.9,36.8,31.8,29,26.9,26.7,27.7,34.03,40.83
Bosnia and Herzegovina,21.3,19.3,21.3,13.9,9.7,10.1,14.4,26.5,16.1,20.38,19.7
Malawi,35.1,36.5,28.9,27.1,26.9,26.9,16.5,13.8,12.3,10.23,14.52
Paraguay,26.3,18,14.4,9.8,9.3,7.6,4.6,4.4,6.1,6.15,7.47
Rwanda,41.1,46.9,50.3,53.2,48.1,40.6,30.9,44.9,51.1,49.17,43.79
Somalia,55.4,51.7,54,73.4,69.6,66.8,61.7,65.8,52,64.6,63.89
Portugal,10,8.3,10.7,17.4,17.7,16.2,10.3,9.9,4.7,8.41,8.97
New Zealand,12.5,7.9,14,16.1,19,19.3,13.3,14,15.1,16.94,15.45
Zambia,39.8,45.8,53.3,38.9,23.1,22.1,22.9,26.2,22.2,20.98,22.26
Cambodia,58.3,53.1,44.3,47.2,42.9,44,33.9,28.9,39.9,48.41,35.62
Serbia,,,11.7,11,14.5,15.7,13.7,14.7,16,16.54,18.77
Ghana,66.1,54.8,50.1,54.3,58,59.3,61.7,61.8,59.8,63.28,65.7
Totals for Unknown,41.3,41.7,51.6,50.2,42.4,39.2,31.6,27,32.3,32.62,28.92
Guatemala,52.3,54.1,33.8,29.7,28,30.2,30.9,37.7,35.9,45.37,48.68
Saint Vincent and the Grenadines,25.5,23.1,26.4,17.1,27.2,25.8,27.2,22.5,24.1,27.15,27.46
Libya,43.8,25.3,27.1,19.2,14.3,30.8,38.9,33.8,33.9,43.02,40.58
Ireland,17.4,24.2,20,24.2,25.1,23.3,21.1,16.9,19.6,18.34,15.48
China - Taiwan,3.1,4.6,5.9,4.4,2.2,1.9,1.4,6.9,12.3,8.81,5.36
Niger,51.9,53.3,55.7,44.1,41.3,41.3,35.9,27.5,36.4,31.1,31.14
France,1.4,8.1,8.7,12,14.5,23.9,13.4,13,18.8,16.28,7.3
Fiji,31,33.2,38,40,33.8,31.4,26.9,27.2,14,14.92,20.23
Dominican Republic,33.8,40.6,45.6,34.6,31.2,32.1,32,41.3,35.9,33.78,31.88
Palestinian Authority Travel Document,47,56.3,55.6,45.2,36.2,34.2,38.9,37.6,36.7,42.68,40.64
Singapore,8.5,9,11.7,16,16.6,22.7,24.6,25,16.6,17.82,15.1
Tuvalu,8,11.8,17.6,28.6,38.1,32,21.4,71.4,27.3,21.05,20
Djibouti,33.7,21.5,42.5,42.1,60.2,58,64.5,62.6,50.1,52,47.09
Syria,36.7,36.2,33.1,23.6,28.4,32.8,42,46.1,60,63.43,59.77
Saudi Arabia,11.3,6.2,6.6,3.8,6,6.3,7.6,7.8,3.3,3.24,4.04
Vatican City,0,0,16.7,7.1,14.3,11.8,0,33.3,7.7,25,62.5
Grenada,27.4,27.4,29.9,19.5,29.6,26.6,32.5,25.8,29.5,32,35.71
Norway,4.9,9.4,11.9,15.2,17.2,18.1,17.8,19.1,21.4,25.12,21.96
"Korea, North",26.9,14.3,16.3,4,23.3,8.3,36,28.6,55.6,47.67,15
Pakistan,31.3,39.5,46.3,40.7,41.6,40,37.3,38.5,38,40.4,46.43
Afghanistan,39.8,38.4,51,59.6,56,45.7,59.3,62.7,46.7,61.03,73.8
Brunei,10,1.8,3.3,5.6,3.5,8,25.5,20.7,11.1,6.82,13.51
Venezuela,13.8,18.5,25.4,18.3,17.6,16.1,12,13.8,15.2,15.57,40.25
United Arab Emirates,9.8,4.6,10.4,9.6,9.7,5.7,9,8,4.8,7.1,4.02
Qatar,4.1,2.4,4.9,3.4,3.2,0.6,1.2,1.8,2.1,2.97,3.5
Austria,15.8,16.1,20.3,11.9,11.5,9.3,11.1,8.7,7.8,7.4,5.93
Russia,15.3,12.4,7.5,4.9,10.1,10.3,9.6,10.2,7.8,10.24,9.29
Kiribati,18.2,19.6,26.2,10.2,20.9,20.7,22.9,27.3,15.4,16.05,5.81
Seychelles,12.3,19.1,18,21.3,8.5,15.9,4.8,4.3,6.8,7.26,9.66
Malta,2.8,2.7,2.5,3.8,12.5,11.9,17.6,6.6,11.1,7.87,8.38
Uruguay,12.6,12.1,9.5,5.4,5.6,3.8,2.7,2.8,1.8,2.7,3.14
Burkina Faso,33.2,43.1,44.4,48.9,45.8,37.9,35.3,31.7,37.4,50.37,65.35
Switzerland,7,7.1,3.4,2.8,3.3,4.2,3.6,4.4,7.2,4.62,5.2
San Marino,25,40,50,0,0,0,0,0,100,0,0
Lesotho,26.5,39.8,32.1,17.7,21.1,18.6,11.2,19.4,16.7,13.95,21.2
Panama,15.9,26.3,19.2,13.1,11.2,11.3,8.4,8,10,11.36,12.05
Luxembourg,-0.8,6.2,7.8,10,7,5.5,4.7,8.3,12.2,5.88,7.69
Great Britain and Northern Ireland,13.7,21.1,25.5,27.8,25.5,27.3,20.6,16.9,19.4,20.41,20.42
Monaco,14.3,37.5,25,0,0,0,57.1,33.3,0,12.5,0
Malaysia,11.4,7.7,5.6,6.6,5.9,4.7,5.4,5,4.6,3.34,3.65
Morocco,31.2,24.4,24,19.6,15.5,15.1,21.3,23.3,21.9,20.6,26.77
Benin,31.9,37.4,39.1,37,39.7,48.2,33,34.6,31.4,35.74,38.01
Costa Rica,24.1,22.4,21.2,16.6,17.7,13.7,11.3,13.7,11.4,9.83,8.39
Poland,26.2,25.2,13.8,13.5,9.8,10.2,9.3,10.8,6.4,6.37,5.37
Chad,32.1,29.3,41.4,37.6,58.5,42.7,43.8,36.3,32.4,33.87,42.53
Kenya,33.9,33.7,35.6,35.8,40.2,39.3,33.6,28.3,27.3,27.34,26.6
Colombia,33.3,29.4,25.6,27.3,30.7,21.7,11.2,10.4,12.3,15.52,17.79
Maldives,16.3,21.5,4.7,19.7,12.2,0.9,42.2,22.9,6.7,15.49,47.56
Liberia,39.4,50.7,70.7,66,57.6,56.1,45.5,59,49.4,62.45,70.23
Tunisia,20.2,24.4,23.9,18.5,15.6,17.2,16.8,17,17.5,19.69,15.92
Greece,2.2,1.6,1.5,2,2.6,14.8,26.1,26,27.1,21.89,16.37
Sweden,8,8.4,15.2,19.3,20.5,22.3,16.3,21,15.4,23.19,12.78
Barbados,6.3,6.1,10.1,7.8,10.2,10.7,12.4,9.9,9.8,9.54,11.24
Andorra,25,9.1,50,60,100,0,100,25,0,0,28.57
Comoros,21.6,25,14,24.5,43.6,29.6,22.1,32.6,17,54.44,53.73
Zimbabwe,40.1,32.3,30.3,31.3,28.1,21.8,19.2,19.7,13.2,21.03,22.88
Nauru,9.5,0,66.7,60,41.7,16.7,18.2,0,42.9,5.26,13.33
Denmark,9,11,16.6,13.6,18.3,17,14.7,11,12,20.73,11.74
Egypt,32.9,33.7,35.3,29.7,31.3,24,32.4,39.5,34,33.57,28.61
Antigua and Barbuda,19.1,14.8,21.7,13.1,19.7,20.2,24.1,18.1,20.8,20.17,22.11
Kuwait,4,3.8,6.5,-2.21,3.6,2.8,4.8,10.3,5.7,5.73,4.56
Latvia,21.6,11.8,8.3,19.5,33.9,29.7,23.4,20.4,23.3,18.4,13.45
South Sudan,,,,,,23.8,37.7,41.9,43.8,41.77,43.89
Angola,11.1,12.8,17.1,17.7,21.4,17.2,19.9,24.8,21.4,26.77,48.52
Timor-Leste,,0,16.7,17.5,13.3,25.5,16.7,5.6,25,12.68,26.67
"Korea, South",3.6,4.4,3.8,5.5,9.4,7.5,13,18.1,21.2,13.21,8.65
Guinea-Bissau,44.5,55,63.4,61.9,46.6,55,50,43.6,56.5,65.18,71.88
Belgium,10.7,13.1,13.4,9.4,13.2,13.7,7.1,9.4,11.7,12.85,7.33
Mauritania,56.5,59.1,51,54.1,49.7,61.5,54.7,50,52.2,61.45,71.45
Slovakia,16,12,5.3,8.3,11.8,16.6,13.5,15.3,17.3,11.14,12.28
Dominica,33,28.6,29.5,20.3,27.5,29.2,31.7,30.2,29,33.33,31.63
Argentina,6.7,4.4,3.1,3.3,3.1,2.5,1.5,1.7,1.4,2.14,2.14
Burma,44.9,49.8,41.9,34.2,32,33.2,31,23.5,15.5,16.32,13.02
Hungary,12.7,10.3,7.8,21.1,34.5,31.1,17,31.6,35.5,31.31,15.48
Sao Tome and Principe,10,9.7,28.6,33.3,16.7,31.7,18,22.2,10.7,5.71,24.14
Armenia,58.7,61.4,53.3,48.9,51.4,54.5,38.5,37.9,43.8,47.17,45.88
Iceland,16,8.5,5.1,6.3,9.8,8.6,5.6,7.1,10.2,8.11,7.69
Finland,12.9,16,17.1,23.6,15.4,19.4,7.6,15,14.5,11.86,7.72
Thailand,12.9,17,19.8,16.4,13.5,11.4,10.2,11.1,10.2,12.35,17.82
Uzbekistan,60.1,70.9,61.1,41.1,46.8,50.2,40.4,44.3,52.1,49.59,57.09
Tajikistan,31.2,30.1,32.4,23.8,31.4,30.3,42.6,53.7,49,44.44,55.24
Indonesia,,40.2,37,25,16.4,14.2,12.1,8,8.3,8.71,11.19
Kyrgyzstan,29.4,29.8,32.1,32.8,17.5,18,26.4,24.9,43.2,55.75,51.68
Equatorial Guinea,17.2,23.8,11.1,8.2,12.2,6.6,10,16.2,17.8,19.3,17.75
Belize,21.7,26.9,25.4,21.4,33.4,36.8,22.7,19.7,16.4,30.47,35.21
Lebanon,26.9,24.7,27.9,18.6,22.4,20.9,18.1,15.1,16.1,27.1,25.41
Serbia and montenegro,24.3,24.3,17.1,12,14.7,16.2,39.7,100,100,,
Montenegro,,,25.6,27.5,36.6,39,31.4,32.6,28,31.26,28.69
Iraq,56.1,44.6,46.3,31.8,42.2,27.3,32.8,39.2,41.4,52.82,51.71
Eritrea,49,49,51.1,48.2,52.6,46.2,39.2,40.5,41.7,55.67,50.49
Togo,57.5,47.5,51.7,42.6,42.1,35.8,37.7,44,35.6,43.42,54.39
Mali,42.7,55.7,48.1,52.8,55.7,51,54.7,47.7,54,52.77,57.58
Israel,4.2,2.5,3,5.1,6.4,6.9,5.4,8.6,8.2,3.85,4.09
Albania,54.5,49.5,38.7,39.6,37.7,42.3,40.5,40.4,39.8,36.82,35.95
